ticker,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
ADANIENT.NS,1.0,0.528,0.183,0.21,0.314,0.218,0.277,0.283,0.28,0.224,0.274,0.173,0.165,0.261,0.2,0.138,0.223,0.326,0.165,0.284,0.294,0.224,0.329,0.151,0.336,0.287,0.146,0.177,0.356,0.284,0.36,0.285,0.293,0.109,0.281,0.274,0.238,0.323,0.26,0.374,0.262,0.203,0.303,0.35,0.144,0.177,0.235,0.304,0.165
ADANIPORTS.NS,0.528,1.0,0.207,0.239,0.36,0.246,0.29,0.297,0.313,0.229,0.269,0.191,0.194,0.262,0.222,0.157,0.238,0.336,0.194,0.331,0.322,0.257,0.361,0.168,0.372,0.304,0.17,0.218,0.369,0.322,0.395,0.292,0.304,0.11,0.327,0.278,0.281,0.325,0.303,0.383,0.295,0.205,0.318,0.36,0.162,0.216,0.241,0.337,0.186
APOLLOHOSP.NS,0.183,0.207,1.0,0.195,0.22,0.18,0.217,0.229,0.211,0.139,0.154,0.189,0.182,0.14,0.208,0.203,0.181,0.205,0.165,0.199,0.244,0.18,0.219,0.159,0.214,0.179,0.158,0.151,0.2,0.204,0.214,0.197,0.197,0.133,0.129,0.155,0.144,0.189,0.22,0.188,0.167,0.201,0.217,0.206,0.155,0.185,0.179,0.239,0.186
ASIANPAINT.NS,0.21,0.239,0.195,1.0,0.275,0.279,0.262,0.288,0.177,0.206,0.26,0.273,0.169,0.171,0.202,0.152,0.276,0.327,0.164,0.303,0.293,0.262,0.222,0.3,0.284,0.267,0.166,0.206,0.268,0.293,0.307,0.25,0.336,0.21,0.194,0.15,0.167,0.287,0.242,0.235,0.219,0.176,0.292,0.244,0.177,0.187,0.277,0.359,0.176
AXISBANK.NS,0.314,0.36,0.22,0.275,1.0,0.324,0.394,0.415,0.298,0.264,0.319,0.214,0.197,0.277,0.192,0.156,0.302,0.415,0.202,0.516,0.343,0.29,0.403,0.202,0.682,0.521,0.211,0.252,0.427,0.467,0.525,0.385,0.418,0.124,0.331,0.299,0.275,0.386,0.324,0.585,0.416,0.202,0.332,0.417,0.187,0.239,0.343,0.384,0.207
BAJAJ-AUTO.NS,0.218,0.246,0.18,0.279,0.324,1.0,0.279,0.29,0.201,0.25,0.249,0.206,0.201,0.199,0.211,0.195,0.316,0.319,0.195,0.343,0.286,0.491,0.314,0.222,0.318,0.312,0.17,0.23,0.302,0.312,0.332,0.38,0.396,0.155,0.24,0.245,0.227,0.305,0.29,0.29,0.256,0.202,0.271,0.296,0.202,0.173,0.27,0.329,0.202
BAJAJFINSV.NS,0.277,0.29,0.217,0.262,0.394,0.279,1.0,0.565,0.265,0.22,0.27,0.238,0.14,0.218,0.166,0.128,0.289,0.337,0.169,0.365,0.379,0.249,0.335,0.175,0.374,0.376,0.171,0.22,0.347,0.352,0.354,0.33,0.337,0.132,0.253,0.223,0.205,0.301,0.386,0.357,0.327,0.173,0.329,0.343,0.177,0.208,0.284,0.332,0.178
BAJFINANCE.NS,0.283,0.297,0.229,0.288,0.415,0.29,0.565,1.0,0.277,0.232,0.277,0.249,0.148,0.223,0.184,0.13,0.331,0.354,0.15,0.402,0.37,0.26,0.32,0.214,0.407,0.397,0.179,0.232,0.338,0.406,0.368,0.342,0.356,0.14,0.259,0.225,0.21,0.321,0.344,0.395,0.374,0.177,0.326,0.328,0.168,0.202,0.296,0.346,0.163
BEL.NS,0.28,0.313,0.211,0.177,0.298,0.201,0.265,0.277,1.0,0.19,0.293,0.177,0.181,0.31,0.174,0.119,0.228,0.311,0.139,0.237,0.223,0.204,0.319,0.12,0.3,0.24,0.12,0.2,0.279,0.229,0.358,0.27,0.27,0.101,0.319,0.326,0.28,0.288,0.239,0.344,0.282,0.166,0.29,0.323,0.133,0.178,0.216,0.288,0.154
BHARTIARTL.NS,0.224,0.229,0.139,0.206,0.264,0.25,0.22,0.232,0.19,1.0,0.219,0.143,0.176,0.179,0.172,0.133,0.201,0.313,0.149,0.281,0.271,0.231,0.288,0.167,0.308,0.259,0.175,0.221,0.291,0.247,0.3,0.263,0.248,0.119,0.233,0.235,0.218,0.281,0.227,0.287,0.225,0.177,0.243,0.284,0.156,0.157,0.223,0.273,0.156
