ticker,AAPL,ABT,AMD,AMZN,AVGO,BAC,BRK-B,CAT,COST,CRM,CSCO,CVX,GOOGL,HD,JNJ,JPM,LLY,MA,MCD,META,MSFT,NFLX,NVDA,ORCL,PG,TSLA,UNH,V,WMT,XOM
AAPL,1.0,0.4,0.392,0.478,0.498,0.38,0.461,0.397,0.424,0.437,0.461,0.339,0.547,0.458,0.33,0.388,0.28,0.511,0.382,0.426,0.588,0.294,0.485,0.433,0.336,0.355,0.365,0.477,0.287,0.308
ABT,0.4,1.0,0.295,0.34,0.329,0.387,0.507,0.352,0.424,0.367,0.438,0.35,0.416,0.458,0.552,0.422,0.421,0.478,0.417,0.276,0.484,0.198,0.334,0.395,0.465,0.206,0.449,0.482,0.344,0.306
AMD,0.392,0.295,1.0,0.375,0.412,0.319,0.33,0.32,0.292,0.375,0.337,0.259,0.36,0.34,0.187,0.311,0.191,0.373,0.24,0.297,0.419,0.282,0.556,0.347,0.183,0.304,0.24,0.352,0.168,0.218
AMZN,0.478,0.34,0.375,1.0,0.411,0.313,0.379,0.328,0.403,0.504,0.382,0.243,0.595,0.399,0.251,0.312,0.233,0.461,0.284,0.505,0.57,0.433,0.46,0.386,0.211,0.35,0.272,0.431,0.243,0.217
AVGO,0.498,0.329,0.412,0.411,1.0,0.388,0.42,0.408,0.37,0.436,0.432,0.354,0.439,0.434,0.248,0.406,0.253,0.447,0.355,0.374,0.494,0.285,0.533,0.421,0.232,0.361,0.304,0.435,0.207,0.305
BAC,0.38,0.387,0.319,0.313,0.388,1.0,0.693,0.584,0.33,0.379,0.472,0.544,0.398,0.473,0.377,0.853,0.253,0.509,0.389,0.279,0.423,0.208,0.351,0.441,0.311,0.252,0.417,0.499,0.254,0.522
BRK-B,0.461,0.507,0.33,0.379,0.42,0.693,1.0,0.609,0.455,0.401,0.533,0.593,0.474,0.561,0.541,0.737,0.359,0.594,0.508,0.327,0.512,0.236,0.385,0.509,0.471,0.259,0.501,0.58,0.381,0.576
CAT,0.397,0.352,0.32,0.328,0.408,0.584,0.609,1.0,0.319,0.367,0.466,0.587,0.387,0.448,0.365,0.599,0.245,0.481,0.359,0.23,0.417,0.22,0.377,0.438,0.286,0.237,0.359,0.455,0.245,0.576
COST,0.424,0.424,0.292,0.403,0.37,0.33,0.455,0.319,1.0,0.346,0.395,0.284,0.409,0.511,0.398,0.344,0.332,0.407,0.381,0.295,0.486,0.244,0.375,0.405,0.444,0.254,0.352,0.4,0.545,0.263
CRM,0.437,0.367,0.375,0.504,0.436,0.379,0.401,0.367,0.346,1.0,0.427,0.295,0.484,0.412,0.262,0.371,0.244,0.491,0.342,0.446,0.537,0.359,0.477,0.44,0.244,0.352,0.296,0.465,0.216,0.27
CSCO,0.461,0.438,0.337,0.382,0.432,0.472,0.533,0.466,0.395,0.427,1.0,0.42,0.444,0.459,0.437,0.487,0.325,0.494,0.406,0.302,0.533,0.234,0.417,0.497,0.395,0.249,0.378,0.473,0.339,0.403
CVX,0.339,0.35,0.259,0.243,0.354,0.544,0.593,0.587,0.284,0.295,0.42,1.0,0.347,0.426,0.4,0.583,0.268,0.467,0.425,0.204,0.379,0.146,0.286,0.366,0.303,0.216,0.417,0.452,0.231,0.833
GOOGL,0.547,0.416,0.36,0.595,0.439,0.398,0.474,0.387,0.409,0.484,0.444,0.347,1.0,0.442,0.328,0.407,0.294,0.528,0.363,0.536,0.636,0.352,0.496,0.433,0.312,0.328,0.349,0.51,0.266,0.318
HD,0.458,0.458,0.34,0.399,0.434,0.473,0.561,0.448,0.511,0.412,0.459,0.426,0.442,1.0,0.413,0.493,0.313,0.506,0.494,0.331,0.51,0.249,0.405,0.442,0.424,0.281,0.433,0.499,0.396,0.374
JNJ,0.33,0.552,0.187,0.251,0.248,0.377,0.541,0.365,0.398,0.262,0.437,0.4,0.328,0.413,1.0,0.424,0.455,0.419,0.429,0.194,0.392,0.146,0.207,0.376,0.538,0.129,0.457,0.423,0.379,0.375
JPM,0.388,0.422,0.311,0.312,0.406,0.853,0.737,0.599,0.344,0.371,0.487,0.583,0.407,0.493,0.424,1.0,0.283,0.541,0.43,0.277,0.449,0.193,0.359,0.462,0.35,0.253,0.438,0.53,0.272,0.554
LLY,0.28,0.421,0.191,0.233,0.253,0.253,0.359,0.245,0.332,0.244,0.325,0.268,0.294,0.313,0.455,0.283,1.0,0.312,0.246,0.213,0.353,0.15,0.241,0.338,0.367,0.109,0.368,0.31,0.28,0.262
MA,0.511,0.478,0.373,0.461,0.447,0.509,0.594,0.481,0.407,0.491,0.494,0.467,0.528,0.506,0.419,0.541,0.312,1.0,0.484,0.409,0.555,0.29,0.465,0.475,0.377,0.3,0.424,0.848,0.284,0.443
MCD,0.382,0.417,0.24,0.284,0.355,0.389,0.508,0.359,0.381,0.342,0.406,0.425,0.363,0.494,0.429,0.43,0.246,0.484,1.0,0.264,0.433,0.164,0.282,0.368,0.435,0.225,0.4,0.475,0.317,0.37
META,0.426,0.276,0.297,0.505,0.374,0.279,0.327,0.23,0.295,0.446,0.302,0.204,0.536,0.331,0.194,0.277,0.213,0.409,0.264,1.0,0.473,0.348,0.417,0.301,0.187,0.277,0.205,0.396,0.16,0.168
MSFT,0.588,0.484,0.419,0.57,0.494,0.423,0.512,0.417,0.486,0.537,0.533,0.379,0.636,0.51,0.392,0.449,0.353,0.555,0.433,0.473,1.0,0.34,0.561,0.54,0.403,0.347,0.407,0.537,0.34,0.328
NFLX,0.294,0.198,0.282,0.433,0.285,0.208,0.236,0.22,0.244,0.359,0.234,0.146,0.352,0.249,0.146,0.193,0.15,0.29,0.164,0.348,0.34,1.0,0.337,0.25,0.136,0.276,0.187,0.276,0.158,0.133
NVDA,0.485,0.334,0.556,0.46,0.533,0.351,0.385,0.377,0.375,0.477,0.417,0.286,0.496,0.405,0.207,0.359,0.241,0.465,0.282,0.417,0.561,0.337,1.0,0.423,0.216,0.358,0.279,0.441,0.215,0.247
ORCL,0.433,0.395,0.347,0.386,0.421,0.441,0.509,0.438,0.405,0.44,0.497,0.366,0.433,0.442,0.376,0.462,0.338,0.475,0.368,0.301,0.54,0.25,0.423,1.0,0.375,0.239,0.357,0.453,0.315,0.338
PG,0.336,0.465,0.183,0.211,0.232,0.311,0.471,0.286,0.444,0.244,0.395,0.303,0.312,0.424,0.538,0.35,0.367,0.377,0.435,0.187,0.403,0.136,0.216,0.375,1.0,0.117,0.372,0.383,0.449,0.302
TSLA,0.355,0.206,0.304,0.35,0.361,0.252,0.259,0.237,0.254,0.352,0.249,0.216,0.328,0.281,0.129,0.253,0.109,0.3,0.225,0.277,0.347,0.276,0.358,0.239,0.117,1.0,0.188,0.29,0.142,0.178
UNH,0.365,0.449,0.24,0.272,0.304,0.417,0.501,0.359,0.352,0.296,0.378,0.417,0.349,0.433,0.457,0.438,0.368,0.424,0.4,0.205,0.407,0.187,0.279,0.357,0.372,0.188,1.0,0.417,0.291,0.374
V,0.477,0.482,0.352,0.431,0.435,0.499,0.58,0.455,0.4,0.465,0.473,0.452,0.51,0.499,0.423,0.53,0.31,0.848,0.475,0.396,0.537,0.276,0.441,0.453,0.383,0.29,0.417,1.0,0.278,0.425
WMT,0.287,0.344,0.168,0.243,0.207,0.254,0.381,0.245,0.545,0.216,0.339,0.231,0.266,0.396,0.379,0.272,0.28,0.284,0.317,0.16,0.34,0.158,0.215,0.315,0.449,0.142,0.291,0.278,1.0,0.233
XOM,0.308,0.306,0.218,0.217,0.305,0.522,0.576,0.576,0.263,0.27,0.403,0.833,0.318,0.374,0.375,0.554,0.262,0.443,0.37,0.168,0.328,0.133,0.247,0.338,0.302,0.178,0.374,0.425,0.233,1.0
