rr_id,ticker,company_name,market,sector,cagr_pct,sharpe_ratio,calmar_ratio,ann_volatility_pct,max_drawdown_pct
1,AAPL,Apple,US,Technology,27.72,0.839,0.633,27.87,-43.8
2,ABT,Abbott Laboratories,US,Healthcare,12.71,0.433,0.375,21.44,-33.88
3,ADANIENT.NS,Adani Enterprises,India,Infra/Other,28.92,0.668,0.357,51.94,-81.03
4,ADANIPORTS.NS,Adani Ports & SEZ,India,Infra/Other,17.97,0.502,0.338,38.7,-53.24
5,AMD,Advanced Micro Devices,US,Technology,18.43,0.489,0.219,55.77,-84.06
6,AMZN,Amazon,US,Consumer Disc.,26.29,0.725,0.468,32.73,-56.15
7,APOLLOHOSP.NS,Apollo Hospitals,India,Pharma,23.12,0.66,0.587,32.65,-39.42
8,ASIANPAINT.NS,Asian Paints,India,Infra/Other,19.58,0.653,0.554,25.19,-35.32
9,AVGO,Broadcom,US,Technology,41.18,0.987,0.853,36.78,-48.3
10,AXISBANK.NS,Axis Bank,India,Banking,12.6,0.38,0.2,34.13,-63.11
11,BAC,Bank of America,US,Financials,8.77,0.27,0.118,33.61,-74.2
12,BAJAJ-AUTO.NS,Bajaj Auto,India,Auto,19.7,0.648,0.513,25.77,-38.42
13,BAJAJFINSV.NS,Bajaj Finserv,India,Finance,28.99,0.786,0.495,34.12,-58.57
14,BAJFINANCE.NS,Bajaj Finance,India,Finance,43.58,1.082,0.698,35.3,-62.44
15,BEL.NS,Bharat Electronics,India,Infra/Other,21.58,0.608,0.321,34.29,-67.2
16,BHARTIARTL.NS,Bharti Airtel,India,Infra/Other,12.48,0.381,0.267,30.72,-46.78
17,BPCL.NS,Bharat Petroleum Corporation,India,Energy,17.22,0.501,0.344,34.01,-50.13
18,BRITANNIA.NS,Britannia Industries,India,FMCG,26.76,0.883,0.71,25.39,-37.68
19,BRK-B,Berkshire Hathaway (Class B),US,Financials,13.68,0.5,0.463,19.45,-29.57
20,CAT,Caterpillar,US,Industrials,15.88,0.481,0.356,29.05,-44.63
21,CIPLA.NS,Cipla,India,Pharma,11.22,0.355,0.234,25.84,-47.9
22,COALINDIA.NS,Coal India,India,Energy,8.21,0.251,0.127,29.62,-64.65
23,COST,Costco,US,Consumer Disc.,22.82,0.873,0.727,20.21,-31.4
24,CRM,Salesforce,US,Technology,21.29,0.576,0.363,36.24,-58.62
25,CSCO,Cisco Systems,US,Technology,8.91,0.267,0.179,25.86,-49.84
26,CVX,Chevron,US,Energy,8.25,0.244,0.148,26.78,-55.77
27,DIVISLAB.NS,Divi's Laboratories,India,Pharma,22.46,0.681,0.377,29.48,-59.54
28,DRREDDY.NS,Dr. Reddy's Laboratories,India,Pharma,13.51,0.438,0.242,25.73,-55.89
29,EICHERMOT.NS,Eicher Motors,India,Auto,33.98,0.925,0.56,32.59,-60.66
30,GOOGL,Alphabet (Class A),US,Communication,18.19,0.566,0.41,27.33,-44.32
31,GRASIM.NS,Grasim Industries,India,Infra/Other,13.89,0.436,0.203,28.2,-68.59
32,HCLTECH.NS,HCL Technologies,India,IT,25.2,0.783,0.726,27.9,-34.72
33,HD,Home Depot,US,Consumer Disc.,21.88,0.755,0.576,23.22,-37.99
34,HDFCBANK.NS,HDFC Bank,India,Banking,17.84,0.622,0.435,23.28,-41.05
35,HDFCLIFE.NS,HDFC Life Insurance,India,Finance,8.85,0.273,0.192,30.25,-46.19
36,HEROMOTOCO.NS,Hero MotoCorp,India,Auto,9.68,0.297,0.166,28.37,-58.18
37,HINDALCO.NS,Hindalco Industries,India,Metal,9.97,0.317,0.134,39.82,-74.32
38,HINDUNILVR.NS,Hindustan Unilever,India,FMCG,17.82,0.617,0.585,23.46,-30.46
39,ICICIBANK.NS,ICICI Bank,India,Banking,16.32,0.487,0.317,31.82,-51.53
40,INDUSINDBK.NS,IndusInd Bank,India,Banking,14.31,0.415,0.168,38.9,-85.03
41,INFY.NS,Infosys,India,IT,15.2,0.485,0.407,27.14,-37.36
42,ITC.NS,ITC,India,FMCG,15.58,0.522,0.282,24.54,-55.28
43,JNJ,Johnson & Johnson,US,Healthcare,8.6,0.279,0.314,16.71,-27.37
44,JPM,JPMorgan Chase,US,Financials,15.08,0.465,0.346,27.77,-43.63
45,JSWSTEEL.NS,JSW Steel,India,Metal,16.98,0.483,0.258,36.86,-65.82
