stock_id,ticker,company_name,market,sector,exchange,created_at
1,TCS.NS,Tata Consultancy Services,India,IT,NSE,2026-06-14 11:05:55
2,INFY.NS,Infosys,India,IT,NSE,2026-06-14 11:05:55
3,HCLTECH.NS,HCL Technologies,India,IT,NSE,2026-06-14 11:05:55
4,WIPRO.NS,Wipro,India,IT,NSE,2026-06-14 11:05:55
5,TECHM.NS,Tech Mahindra,India,IT,NSE,2026-06-14 11:05:55
6,HDFCBANK.NS,HDFC Bank,India,Banking,NSE,2026-06-14 11:05:55
7,ICICIBANK.NS,ICICI Bank,India,Banking,NSE,2026-06-14 11:05:55
8,AXISBANK.NS,Axis Bank,India,Banking,NSE,2026-06-14 11:05:55
9,KOTAKBANK.NS,Kotak Mahindra Bank,India,Banking,NSE,2026-06-14 11:05:55
10,SBIN.NS,State Bank of India,India,Banking,NSE,2026-06-14 11:05:55
11,INDUSINDBK.NS,IndusInd Bank,India,Banking,NSE,2026-06-14 11:05:55
12,BAJFINANCE.NS,Bajaj Finance,India,Finance,NSE,2026-06-14 11:05:55
13,BAJAJFINSV.NS,Bajaj Finserv,India,Finance,NSE,2026-06-14 11:05:55
14,HDFCLIFE.NS,HDFC Life Insurance,India,Finance,NSE,2026-06-14 11:05:55
15,SBILIFE.NS,SBI Life Insurance,India,Finance,NSE,2026-06-14 11:05:55
16,SHRIRAMFIN.NS,Shriram Finance,India,Finance,NSE,2026-06-14 11:05:55
17,MARUTI.NS,Maruti Suzuki,India,Auto,NSE,2026-06-14 11:05:55
18,TATAMOTORS.NS,Tata Motors,India,Auto,NSE,2026-06-14 11:05:55
19,M&M.NS,Mahindra & Mahindra,India,Auto,NSE,2026-06-14 11:05:55
20,BAJAJ-AUTO.NS,Bajaj Auto,India,Auto,NSE,2026-06-14 11:05:55
21,HEROMOTOCO.NS,Hero MotoCorp,India,Auto,NSE,2026-06-14 11:05:55
22,EICHERMOT.NS,Eicher Motors,India,Auto,NSE,2026-06-14 11:05:55
23,SUNPHARMA.NS,Sun Pharmaceutical,India,Pharma,NSE,2026-06-14 11:05:55
24,DRREDDY.NS,Dr. Reddy's Laboratories,India,Pharma,NSE,2026-06-14 11:05:55
25,CIPLA.NS,Cipla,India,Pharma,NSE,2026-06-14 11:05:55
26,DIVISLAB.NS,Divi's Laboratories,India,Pharma,NSE,2026-06-14 11:05:55
